Year,Biomonitoring/Water Quality,Taxonomy/Systematics,Materials Science (Silk),Ecology/Behavior,Evolution/Phylogeny,Physiology,Genetic/Molecular Study,Other,Conservation
2010,13,52,4.0,29,10,0.0,0.0,0.0,0.0
2011,18,40,2.0,38,6,1.0,1.0,0.0,0.0
2012,13,34,3.0,43,5,0.0,0.0,0.0,0.0
2013,14,45,2.0,40,3,0.0,0.0,0.0,0.0
2014,9,46,2.0,48,4,2.0,0.0,0.0,0.0
2015,21,40,5.0,44,5,0.0,0.0,0.0,0.0
2016,12,42,5.0,41,8,0.0,0.0,0.0,0.0
2017,11,49,0.0,49,7,1.0,0.0,1.0,1.0
2018,11,60,1.0,41,7,0.0,0.0,0.0,0.0
2019,11,52,3.0,29,4,0.0,0.0,0.0,0.0
2020,16,35,2.0,47,1,0.0,0.0,0.0,0.0
2021,22,30,0.0,45,4,1.0,0.0,0.0,0.0
2022,27,39,2.0,41,8,0.0,0.0,0.0,0.0
2023,17,55,1.0,47,10,0.0,0.0,1.0,0.0
2024,22,47,4.0,31,13,0.0,0.0,0.0,1.0
2025,30,44,2.0,51,6,0.0,0.0,2.0,0.0
