Year,Biomonitoring/Water Quality,Conservation,Ecology/Behavior,Evolution/Phylogeny,Genetic/Molecular Study,Materials Science (Silk),Not Specified,Other,Physiology,Taxonomy/Systematics
2010,7.784431137724551,0.0,17.365269461077844,5.9880239520958085,0.0,2.3952095808383236,35.32934131736527,0.0,0.0,31.137724550898206
2011,10.909090909090908,0.0,23.03030303030303,3.6363636363636362,0.6060606060606061,1.2121212121212122,35.75757575757576,0.0,0.6060606060606061,24.242424242424242
2012,8.227848101265822,0.0,27.21518987341772,3.1645569620253164,0.0,1.89873417721519,37.9746835443038,0.0,0.0,21.518987341772153
2013,8.333333333333332,0.0,23.809523809523807,1.7857142857142856,0.0,1.1904761904761905,38.095238095238095,0.0,0.0,26.785714285714285
2014,5.172413793103448,0.0,27.586206896551722,2.2988505747126435,0.0,1.1494252873563218,36.206896551724135,0.0,1.1494252873563218,26.436781609195403
2015,11.864406779661017,0.0,24.858757062146893,2.824858757062147,0.0,2.824858757062147,35.02824858757062,0.0,0.0,22.598870056497177
2016,6.896551724137931,0.0,23.563218390804597,4.597701149425287,0.0,2.8735632183908044,37.93103448275862,0.0,0.0,24.137931034482758
2017,6.358381502890173,0.5780346820809248,28.32369942196532,4.046242774566474,0.0,0.0,31.213872832369944,0.5780346820809248,0.5780346820809248,28.32369942196532
2018,6.395348837209303,0.0,23.837209302325583,4.069767441860465,0.0,0.5813953488372093,30.23255813953488,0.0,0.0,34.883720930232556
2019,6.214689265536723,0.0,16.38418079096045,2.2598870056497176,0.0,1.694915254237288,44.06779661016949,0.0,0.0,29.37853107344633
2020,9.411764705882353,0.0,27.647058823529413,0.5882352941176471,0.0,1.1764705882352942,40.588235294117645,0.0,0.0,20.588235294117645
2021,12.571428571428573,0.0,25.71428571428571,2.2857142857142856,0.0,0.0,41.714285714285715,0.0,0.5714285714285714,17.142857142857142
2022,14.754098360655737,0.0,22.404371584699454,4.371584699453552,0.0,1.092896174863388,36.0655737704918,0.0,0.0,21.311475409836063
2023,9.714285714285714,0.0,26.857142857142858,5.714285714285714,0.0,0.5714285714285714,25.142857142857146,0.5714285714285714,0.0,31.428571428571427
2024,12.222222222222221,0.5555555555555556,17.22222222222222,7.222222222222221,0.0,2.2222222222222223,34.44444444444444,0.0,0.0,26.111111111111114
2025,15.957446808510639,0.0,27.127659574468083,3.1914893617021276,0.0,1.0638297872340425,28.191489361702125,1.0638297872340425,0.0,23.404255319148938
